,CorrCoeff_EQ,CorrCoeff_M0
0,0.567579512119983,0.14172840600524006
1,0.6011229081292229,0.5435100965633228
2,0.5289748801990677,0.12424361655453363
3,0.604297041465652,0.03218301448970639
4,0.6051052412223966,0.30799116927349174
5,0.6051052412223966,0.30799116927349174
6,0.6418830920092534,0.46048361527294795
7,0.6475924729686153,0.26596367783242697
8,0.639965767656692,0.16756989596207333
9,0.6213822236256892,0.833249416669332
10,0.7150223794890663,0.14507775840761647
11,0.69486855975308,0.17873365635724373
12,0.5887402813189846,0.30907692439672096
13,0.692328460474148,0.12142734259599959
14,0.7659627213745627,0.2557011278248576
15,0.6656601589100724,0.4346379665608382
